location,date,likes,retweets,text
"Waltham, MA",2020-05-03,344,138,"On Jan 23, Sen. Cotton made one of two pushes directly to the president for a travel ban from China, per people familiar with the call. The president was hesitant and was echoing what admin health experts said at the time, which is that it wasn’t going to do much. https://t.co/CBzVGnrimg"
"San Antonio, TX",2020-05-26,12,8,"Everyone: reflecting on Memorial Day 
CNN: TIME TO HATE MEN https://t.co/pFuAEZTIXm"
"Atlanta, GA",2020-05-19,0,1,The Pandemic Sprawl: Suburban Flex Offices See Wave Of Interest As Companies Decentralize https://t.co/dXPo8kCBo3
"Seattle, WA",2020-05-03,38253,17880,"America's billionaires grew their wealth by $282,000,000,000 in just 23 days during the lockdown.

That's $12,300,000,000 a day. 

Meanwhile, millions of Americans are out of work and struggling to pay the bills. 

This is a tale of two pandemics."
"Houston, TX",2020-05-12,68149,11393,Coronavirus numbers aren't even going down in the White House https://t.co/kO00YE53No
"Los Angeles, CA, USA",2020-05-26,69102,21874,"Restricting mail in voting during a pandemic is dangerous enough.

But Trump's statements highlight another threat:

He's laying the groundwork to delegitimize millions of votes this fall.

And cast doubt on the result.

This is what tin pot dictators do. Not U.S. Presidents."
"Chicago, IL",2020-05-13,0,0,@realDonaldTrump I'm a stay at home warrior. #TrumpVirus #TrumpGenocide #TrumpTaxReturns
"Newport, RI",2020-05-30,463883,72807,can’t believe corona blew a 28-3 lead to racism
"Brooklyn, NY",2020-05-11,76,34,"Andria and her Husband have 3 Children. They are Out of Work due to COVID-19 and need a Hand Up with groceries for their Family.

GOAL: $43 (remaining)

Can you help?
https://t.co/RwOM5jUrXT"
"Long Beach, CA",2020-05-12,946,209,I think there’s a drinking game in South Korea every time Trump tries to compare the US COVID response favorably to South Korea’s. https://t.co/xWVYWfqm9q
"San Diego, CA",2020-05-07,1270,679,"NYPD officers TERRORIZE citizens for violating “social distancing.”

This must end NOW.

https://t.co/fnz2Qfw52g"
"Central Coast, CA",2020-05-31,194165,72795,U.S. security forces pulling anti-COVID19 facemasks on protestors &amp; journalists to directly pepper spray them in the face. This type of attack causes severe respiratory damage that can prove deadly during a pandemic. #Anonymous #ICantBreathe #GeorgeFloyd  https://t.co/JrHmBVMVQS
"Kansas, USA",2020-05-21,1,0,@maddow @GovRicketts what do you have to hide? Is it Another collusion to spread #trumpsvirus into disrupting food system of #america infecting workers @TysonFoods @JBSCareers @CDCgov @realDonaldTrump @ProjectLincoln @JoeBiden @BarackObama @BillKristol @gtconway3d #coronavirus #testing
"Brooklyn, NY",2020-05-06,7,5,"Miroslav Jenča UN Assistant Secretary-General for Europe, Central Asia and the Americas: ""What we need now more than ever is to unite our efforts. The scale of #COVID19 is testing us everywhere but we must safeguard the progress made in women's rights in the last two decades"" https://t.co/Ejn81Hoyw9"
"Michigan, USA",2020-05-23,20004,6815,"Something is very, very, very wrong with the rules of our economy. https://t.co/WNSuIwhYsx"
"Madison, WI",2020-05-13,1234,544,via @NYTimes first coronavirus image was by a female scientist who should be better known https://t.co/JMZBaq83u2
"Albany, NY",2020-05-14,2,2,It was all about higher ed today. Get in touch if you want to contribute to a story about tuition and fees during COVID-19 closures: rsilberstein@timesunion.com. https://t.co/wW21Ci6wqC
"New Orleans, LA",2020-05-28,3591,1633,"America are you listening? You cannot have a global pandemic and quarantine, no universal healthcare, unemployment over 35 million, some of the worst wealth inequalities in the world, racial tensions, AND ALLOW YOUR POLICE TO KILL UNARMED PEOPLE! Rioting is the natural response!"
"Miami, FL",2020-05-14,2,3,"Right now, the Red Cross has a critical need for African American donors to give blood following a decline in donations needed for patients with sickle cell disease amid this #COVID19 outbreak. Make an appointment to give at https://t.co/8mh49tmybv - Please spread this message! https://t.co/xkmOG3nUAb"
"Arkansas, USA",2020-05-31,172289,53440,"After protesting, please get a test for Covid. Your health matters."
"Camillus, NY",2020-05-15,1,0,"Great post by my friend, Janice! https://t.co/2JIG1I9YC3"
"Chicago, IL",2020-05-16,11,11,"Let’s get this done  #VirusFreeVotingILLINOIS @NWSOFA, @involvedman https://t.co/CEwVBZwhLK"
"Marietta, GA",2020-05-02,87556,21051,"So people on unemployment are getting the max pay of $450 per week, another whopping $600 because of COVID-19 for a total of $4,200 a month PLUS these stimulus checks? Meanwhile essential frontline workers such as myself are busting our ass working long hours with no salary inc-"
"New York, USA",2020-05-29,160570,34095,One reason things seems so bleak is that there is so little accountability. Crash the economy? Bonuses and bailouts. Kill a jogger? Walk free for weeks. Botch a pandemic? It’s politics. Kill a man arrested for a nonviolent crime? People are fed up.
"San Jose, CA",2020-05-07,2,1,"@PCDC_TX @KXAN_News It toon a little while, but here it is! https://t.co/tF02YTS6XW. Thank you for following our coverage!"
"Los Angeles, CA",2020-05-07,24751,6305,"President Trump's personal valet who tested positive for COVID-19 works in the West Wing and serves the president his meals, among other duties, according to a White House official. Valets do not wear masks, this official says."
"Brooklyn, NY",2020-05-15,4,4,"NYPD May Limit Access To Central Park As Temperatures Rise, Commissioner Shea Says https://t.co/1tC6CdTvdX"
"New York, NY",2020-05-21,1,1,"When lockdown means no communion, some @UMChurch congregations are holding “love feasts.” My story for @religionmag - https://t.co/YYJDQdV1Z5
@UMCommunication"
"Philadelphia, PA",2020-05-01,37723,10443,I asked this woman to respect my space after she was yelling and spitting in my face. She said i had no right to social distancing in public and continued to follow me. Complaining about my mask (that is meant to protect her and those around me). https://t.co/M7BX888z11
"Philadelphia, PA",2020-05-19,1,0,Unacceptable: Few Minority-Owned Businesses Got Relief Loans They Asked For https://t.co/QnxNZtksgR
"Long Island, NY",2020-05-03,0,0,"HOW MANY hints are needed from #MotherNature for idiots to finally remove @realdonaldtrump @potus from the @whitehouse @whlive and put him, his family &amp; cohorts into prison where they belong?

#MurderHornets #Covid19 #Coronavirus #Treason #Racism #Plagues #Lies #Incompetence"
"Columbia, MD",2020-05-08,137400,35589,We talkin about practicing social distancing!!! #StayHome #StaySafe https://t.co/wJZjQU5I7V
"Illinois, USA",2020-05-29,1570,512,Social distancing is for pussies. Bring on the Trump Rally!
"Virginia, USA",2020-05-10,197560,51887,What outside looks like in my mom’s head https://t.co/IusIavUVgv
"Ohio, USA",2020-05-11,0,0,I dont even feel like I need to add anything to this retweet... https://t.co/cIOEfDyZLE
"Wisconsin, USA",2020-05-11,13,6,"Read. This. Thread. 

We at @RollingStone have zeroed in the White House's and Trump admin's bungled response to this Covid-19 pandemic. And we've got a lot more to do... https://t.co/tgeGC2ecNq"
"Louisiana, USA",2020-05-24,0,0,Not in the at risk group. My doctor told me that on 4/4. https://t.co/vTi7KbXpMZ
"Hyattsville, MD",2020-05-04,50,14,".@realWhigfield tells Sky News that people using her song Saturday Night to get through #COVID19 lockdown makes her ""really happy"" - but isn't appropriately dressed to do the dance.

Read more on this: https://t.co/7AnOWEHE3S https://t.co/h7WLUs8fC0"
"Arizona, USA",2020-05-04,0,0,I love sheriff Lamb https://t.co/vjScC5BtAK
"Chicago, Illinois, USA",2020-05-17,0,0,New story on NPR: Pandemic Upends World's 2 Largest Economies https://t.co/5fdTa7Ko8d https://t.co/KKSBzSw42e
"New York, USA",2020-05-11,83587,15992,"My new bill would provide $2,000 every single month for the duration of the pandemic, plus 3 months afterward. We need to confront the reality that a one-time payment just isn’t enough to keep people fed. Congress must pass my bill."
"Los Angeles, CA",2020-05-29,353,345,"Theatre in the UK is under great threat from COVID-19. 

Today @UK_Theatre have called for support from Government to sustain the workforce, support recovery and safeguard the industry.

RT to #SupportOurUKTheatres 

Find out more: https://t.co/HemXjmrlAg 

(1/3) https://t.co/HeK16R1Rw1"
"Foster City, California",2020-05-09,83,13,This #NationalNursesWeek we want to express our gratitude to all frontline nurses working tirelessly to help during the pandemic. We thank all healthcare professionals for their dedication and commitment during this time of critical need. https://t.co/7gFuh6GAmo
"New York, USA",2020-05-25,7,6,"$IDEX .42  #AI #electric automation $TSLA #social distancing #selfdrive

#5G contract China 

Target sales of 30,000 units, valued at approx. USD 562 Million with the balance of sales in 2021 through 2023

Vol (Heavy Day)
10,521,621

Pivot .65 

Potential: .95-1.30 higher https://t.co/9zB3nfvX84 https://t.co/QyEI20h9NO"
"Statesboro, GA",2020-05-27,37234,12463,This nigga Osmosis Jones need to comeback and defeat Covid-19. https://t.co/2sQ7yBzV0T
"San Diego, CA",2020-05-31,0,0,"Be careful with #COVID19 phone scams.  Criminals take advantage of world events.  They are impersonating the Center for Disease Control (CDC) and asking for donations. If you think you are a victim of a scam or fraud, contact, the CDC hotline to report at 1-866-720-5721. https://t.co/GNzYUiePzL"
"Philadelphia, PA",2020-05-27,60,2,PS https://t.co/yN6M621LFf https://t.co/Gx1AzOLRZd
"Pleasantville, NJ",2020-05-17,2,0,"@ACEconPolicy Like this photo because it show some wearing masks other not, some pea ting social distancing some not."
"Columbia, MO",2020-05-18,1,1,https://t.co/NvEuI7nB85
"Hawaii, USA",2020-05-07,0,0,❤️💕🙏🏼😷 https://t.co/gWMDtxD5Ko
"Dayton, OH",2020-05-31,0,0,@LeeleeRanz My business will return to the level of success I had achieved before the corona virus existed.
"Michigan, USA",2020-05-07,0,0,"Russia using HCQ to treat COVID-19?
Source of HCQ: China
China using HCQ to treat COVID-19?
The more you know...
Q. https://t.co/a2s04LaDhq"
"New York, New York, USA",2020-05-11,0,0,@eliehonig You ain't seen nothing yet.  It's disgusting.  The corruption in this administration runs like COVID19.
"South Glens Falls, NY",2020-05-16,21,24,"“Opinions are changing in Oklahoma,”  Abby Broyles said by telephone. 
“Demographics are changing. We’re seeing a lack of leadership with this pandemic that’s about as scary as the pandemic itself.”

Vote @abbybroyles to have strong leadership in Oklahoma!

#wtpSenate 
#wtp2020 https://t.co/4Uo51KdjUT"
"Texas, USA",2020-05-04,11057,4618,"When 4 Americans were ambushed + killed without warning in Benghazi, the @GOP and right-wing conservatives lost their minds, everyday, for 4 years.

But now that 70,000 PREVENTABLE American #coronavirus deaths have occurred under @realDonaldTrump’s watch, they are silent.

Why?🤔"
"Boston, MA",2020-05-13,4856,492,Enfermeiros fazem ato em Brasília para homenagear colegas mortos pela Covid-19 https://t.co/mWRfGZ7szE #G1 https://t.co/sn6omybhmQ
"California, USA",2020-05-07,3650,1496,We will not see diseases like the coronavirus come here. https://t.co/2QFVLZHm8p
"New York, NY",2020-05-09,2,0,Virginia theme park depicting dinosaurs fighting in the Civil War delays opening because of COVID-19 - https://t.co/O41XhxtwNo
"Marco Island, FL",2020-05-01,12,6,"Hunger strikes, work strikes, and other demonstrations by incarerated people against the conditions of their prisons, jails, and detention centers are piling up: 9 in Louisiana, 6 in New York, and 5 each in California, Florida, and Washington. https://t.co/J0TSeiEJCr"
"Miami, FL",2020-05-08,30,22,"#CoronavirusBrasil: “She died because there was no ventilator equipment for her.”

Some family members of #Covid19 victims in Manaus are angry about the lack of #PPE in one of Brazil’s #coronavirus hotspots. Mayor @Arthurvneto has asked world leaders for help https://t.co/gvMWeveZCv"
"Huntington Beach, CA",2020-05-16,0,0,The universe is alive and very unpredictable ✨ https://t.co/f4WIyEVTWc
"Chicago, IL",2020-05-15,2,0,"What's the difference between Covid 19 and Romeo &amp; Juliet?

One's a fucking play, you idiot."
"Silver Spring, MD",2020-05-31,204214,58842,This country was infinity more prepared to go to war against its own people then defend its people from a pandemic.
"St. Louis, Missouri",2020-05-28,1,1,All of Illinois is ready to enter phase 3 of the Restore Illinois plan tomorrow.​ https://t.co/47hQDYp0ov
"Ocala, FL",2020-05-05,0,0,"@GovAndyBeshear  @DrAmyActon  @GovMikeDeWine 
Its good thing I wasn't lock down Quarantined  aint it?You wouldn't have any Ventilators💨
I guess my White Trash , trucker Ass was Expendable?🤔⚰
So , I was so called ENDANGERED  but FREE TO DIE from The Cough 💨?SMH! #foolishness https://t.co/nAEEqz7ynS"
"Wisconsin, USA",2020-05-29,126,40,"@_ReaalAmerican_ @TwitterSafety @realDonaldTrump THE TRUMP PANDEMIC
DEATH TRACKER:
Americans Killed by Inaction, Neglect, Incompetence and Corruption
103,313
(out of 1,767,791 current cases)"
"New Jersey, USA",2020-05-09,8,2,"Some good advice here but a few blunders. 

-There’s no American Academy of Pediatricians. @AmerAcadPeds  is all about the KIDS and child health. 

-Best advice: call your doctor’s office and ASK what type of visit is recommended for your concern. 

- https://t.co/HfDZjszvOc"
"Grand Rapids, MN",2020-05-13,5848,1030,"Today, @SenSanders and I led a historic delegation of 300+ lawmakers from 6 continents calling for the cancellation of poor countries' debt.

Our destinies are linked. If we turn a blind eye to the suffering of people abroad, it will eventually harm us. https://t.co/uHIiCeFZx8"
"Marshall, MN",2020-05-18,15193,4018,"let me get this straight... some of YOU foreigners are disappointed that he went out for a meal with friends … in a neighborhood that’s near his home … in a city that isn’t on lockdown, where cases have been in the single digits and restrictions have been slowly relaxing? OK👌🏼"
"Iowa, USA",2020-05-19,6,1,"@BlueTsuni @RobertVosFrere @RonniLaurie @BeverlyBednarc1 @yolalindayola @SaneSophisticat @robinandriver @GomesChantel @BandieraNancy @AVestige1 @Aprylsmithts @gheetar @Sand628Sandy @ClaudiaWolfgang @3guylink @AmanirenaK @reevynap @media_auntie @djjeew @thebigotbasher @BJSquirrel @brianoloughlin9 @impinkestgirl @bjk420 @TaggartRehnn @oprman @TheRealJTIII @bolderpusher112 @AlasscanIsBack @Alpha_Cunt @SullivanMonty @BojanglesMuldo1 @runPattirun @Valerygirl67 @TracyR_2001 @OdoyleCharlotte @bigbool1 @wildweezle @iosolofede @ThomasAResists @Brunhildagis @LockeShiny @Carmenr1Carmen @holachola and with covid starting to affect every single person and family, it won't be long before even turtle-dick feels the pressure. That's why I keep screaming for pelosi to do more impeachments, as it would be better for optics to start BEFORE 100k have died than after."
"Garden Grove, CA",2020-05-20,1842,1366,I was minding my own business and this boy decided to call me the N word. HATE CRIME ALERT🚨 A SIMPLE RETWEET CAN HELP THE CITY OF CORONA PUT HIM IN HIS PLACE @SantiagoSharks @CNUSD @CIFSS @CoronaPD @cityofcorona https://t.co/JPxut2TnhG
"Huntington, WV",2020-05-18,33319,11327,"America has 4% of the world’s population.
America has 30% of the world’s death count of COVID-19.
This is one of the greatest failures of leadership in the history of America. The government has failed miserably. https://t.co/B5KmaY8bcM"
"Los Angeles, CA",2020-05-29,3618,800,"The country on fire and the world going through a pandemic yet one of the top trending topics is that Kylie Jenner isn't actually a billionaire but she got 900 Million though lol. This would of been an incredible Chapelle Show moment, or a classic Boondocks episode lol."
"Washington, DC",2020-05-23,0,0,"House Democrats objected to Trump sending 200 ventilators to Russia to help coronavirus patients there.

#VladimirPutin #RussiaConspiracyTheory #Democrats #Ventilators #Nigeria https://t.co/MMv7pKu3x2"
